match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name,result
3971433,2024-12-16,01:00:00.000,Mexico - Liga MX,2024/2025,Monterrey,América,1,1,,False,False,Complete,Normal,available,available,2024-12-25T15:07:32.762861,2024-12-25T15:07:32.762861,25,Finals,Estadio BBVA,César Arturo Ramos Palazuelos,Martín Gastón Demichelis,André Soares Jardine,1.1.0,2,2,2024/2025,Draw
3919094,2024-04-27,01:00:00.000,Mexico - Liga MX,2023/2024,Puebla,América,1,2,,False,False,Complete,Normal,available,available,2024-04-27T13:17:46.619652,2024-04-27T13:17:46.619652,17,Clausura,Estadio Cuauhtémoc,Guillermo Pacheco Larios,Andrés José Carevic Ghelfi,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3919055,2024-03-17,03:05:00.000,Mexico - Liga MX,2023/2024,Guadalajara,América,0,0,,False,False,Complete,Normal,available,available,2024-03-17T13:46:42.162549,2024-03-17T13:46:42.162549,12,Clausura,Estadio Akron,Fernando Hernández Gómez,Fernando Rubén Gago,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3889744,2023-10-22,01:00:00.000,Mexico - Liga MX,2023/2024,América,Santos Laguna,4,3,,False,False,Complete,Normal,available,available,2023-11-04T16:55:30.196403,2023-11-04T16:55:30.196403,13,Apertura,Estadio Azteca,César Arturo Ramos Palazuelos,André Soares Jardine,Pablo Eduardo Repetto Aquino,1.1.0,2,2,2023/2024,Win
3918374,2023-12-15,03:00:00.000,Mexico - Liga MX,2023/2024,Tigres UANL,América,1,1,,False,True,Complete,Normal,available,available,2024-02-13T12:22:27.685279,2024-02-13T12:22:27.685279,24,Apertura - Final,Estadio Universitario de Nuevo León,Marco Antonio Ortíz Nava,Robert Dante Siboldi Badiola,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3919001,2024-02-11,01:00:00.000,Mexico - Liga MX,2023/2024,León,América,0,1,,False,False,Complete,Normal,available,available,2024-02-21T10:36:43.335339,2024-02-21T10:36:43.335339,6,Clausura,Estadio León,Marco Antonio Ortíz Nava,Jorge Rodrigo Bava,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3919069,2024-04-07,03:05:00.000,Mexico - Liga MX,2023/2024,Santos Laguna,América,1,1,,False,False,Complete,Normal,available,available,2024-04-07T20:40:13.555433,2024-04-07T20:40:13.555433,14,Clausura,Estadio Nuevo Corona,Luis Enrique Santander Aguirre,Marcos Ignacio Ambriz Espinoza,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3889725,2023-10-01,00:40:00.000,Mexico - Liga MX,2023/2024,América,Pumas UNAM,1,0,,False,False,Complete,Normal,available,available,2023-10-01T18:25:03.476699,2023-10-01T18:25:03.476699,10,Apertura,Estadio Azteca,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2023/2024,Win
3889685,2023-08-27,01:00:00.000,Mexico - Liga MX,2023/2024,América,León,1,1,,False,False,Complete,Normal,available,available,2023-08-29T12:06:51.047384,2023-08-29T12:06:51.047384,6,Apertura,Estadio Azteca,Óscar Macías Romo,André Soares Jardine,Nicolás Ricardo Larcamón,1.1.0,2,2,2023/2024,Draw
3889775,2023-11-05,01:05:00.000,Mexico - Liga MX,2023/2024,América,Tijuana,3,0,,False,False,Complete,Normal,available,available,2023-11-06T12:02:49.985548,2023-11-06T12:02:49.985548,16,Apertura,Estadio Azteca,Óscar Mejía García,André Soares Jardine,Miguel Ernesto Herrera Aguirre,1.1.0,2,2,2023/2024,Win
