match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name
3972121,2025-03-17,00:00:00.000,Mexico - Liga MX,2024/2025,Pumas UNAM,Monterrey,1,3,,False,False,Complete,Normal,available,available,2025-03-17T15:13:43.892370,2025-03-17T15:13:43.892370,12,Clausura,Estadio Olímpico de Universitario (Ciudad de México),Ismael Rosario Lopez Peñuelas,Efraín Juárez Váldez,Martín Gastón Demichelis,1.1.0,2,2,2024/2025
3972027,2025-01-19,01:00:00.000,Mexico - Liga MX,2024/2025,Toluca,Monterrey,1,1,,False,False,Complete,Normal,available,available,2025-01-23T21:32:40.058086,2025-01-23T21:32:40.058086,2,Clausura,Estadio Nemesio Díez,Fernando Guerrero Ramírez,Antonio Ricardo Mohamed Matijevich,Martín Gastón Demichelis,1.1.0,2,2,2024/2025
3939956,2024-11-07,03:05:00.000,Mexico - Liga MX,2024/2025,Atlas,Cruz Azul,2,2,,False,False,Complete,Normal,available,available,2024-11-14T10:28:05.036194,2024-11-14T10:28:05.036194,16,Apertura,Estadio Jalisco,Víctor Alfonso Cáceres Hernández,Beñat San José Gil,Martin Anselmi,1.1.0,2,2,2024/2025
3939867,2024-09-01,03:10:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,América,4,1,,False,False,Complete,Normal,available,available,2024-09-24T05:21:59.575672,2024-09-24T05:21:59.575672,6,Apertura,Estadio Ciudad de los Deportes,César Arturo Ramos Palazuelos,Martin Anselmi,André Soares Jardine,1.1.0,2,2,2024/2025
3939917,2024-10-19,03:05:00.000,Mexico - Liga MX,2024/2025,Puebla,Cruz Azul,1,2,,False,False,Complete,Normal,available,available,2025-01-04T08:02:55.725793,2025-01-04T08:02:55.725793,12,Apertura,Estadio Cuauhtémoc,Mario Terrazas Chávez,José Manuel de la Torre Menchaca,Martin Anselmi,1.1.0,2,2,2024/2025
3972076,2025-02-17,01:00:00.000,Mexico - Liga MX,2024/2025,Atlético San Luis,León,1,2,,False,False,Complete,Normal,available,available,2025-02-18T13:01:35.177281,2025-02-18T13:01:35.177281,7,Clausura,Estadio Alfonso Lastras Ramírez (San Luis Potosí),Maximiliano Quintero Hernández,Domènec Torrent Font,Manuel Eduardo Berizzo,1.1.0,2,2,2024/2025
3939887,2024-08-19,00:05:00.000,Mexico - Liga MX,2024/2025,Tijuana,Santos Laguna,3,1,,False,False,Complete,Normal,available,available,2024-09-03T08:55:32.323111,2024-09-03T08:55:32.323111,8,Apertura,Estadio Caliente,Maximiliano Quintero Hernández,Juan Carlos Osorio Arbeláez,Marcos Ignacio Ambriz Espinoza,1.1.0,2,2,2024/2025
3972098,2025-03-02,03:10:00.000,Mexico - Liga MX,2024/2025,Pumas UNAM,Guadalajara,0,1,,False,False,Complete,Normal,available,available,2025-03-15T00:46:33.543592,2025-03-15T00:46:33.543592,10,Clausura,Estadio Olímpico de Universitario (Ciudad de México),Daniel Quintero Huittrón,Raúl Alpízar,José Luis Meléndez Galindo,1.1.0,2,2,2024/2025
3972050,2025-02-01,01:00:00.000,Mexico - Liga MX,2024/2025,Mazatlán,León,1,2,,False,False,Complete,Normal,available,available,2025-02-10T14:20:30.833437,2025-02-10T14:20:30.833437,5,Clausura,Estadio El Encanto,Luis Enrique Santander Aguirre,Víctor Manuel Vucetich Rojas,Manuel Eduardo Berizzo,1.1.0,2,2,2024/2025
3939871,2024-09-14,01:00:00.000,Mexico - Liga MX,2024/2025,Atlas,Pachuca,2,0,,False,False,Complete,Normal,available,available,2024-09-23T21:21:24.254634,2024-09-23T21:21:24.254634,7,Apertura,Estadio Jalisco,Luis Enrique Santander Aguirre,Beñat San José Gil,Jorge Guillermo Almada Álves,1.1.0,2,2,2024/2025
3972064,2025-02-09,03:05:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,Pachuca,2,1,,False,False,Complete,Normal,available,available,2025-02-17T17:50:02.308189,2025-02-17T17:50:02.308189,6,Clausura,Estadio Olímpico de Universitario (Ciudad de México),César Arturo Ramos Palazuelos,Vicente Martín Sánchez Bragunde,Jorge Guillermo Almada Álves,1.1.0,2,2,2024/2025
3939885,2024-09-19,02:00:00.000,Mexico - Liga MX,2024/2025,Mazatlán,Necaxa,0,0,,False,False,Complete,Normal,available,available,2024-09-22T12:54:19.330429,2024-09-22T12:54:19.330429,8,Apertura,Estadio El Encanto,Daniel Quintero Huittrón,Víctor Manuel Vucetich Rojas,Eduardo Fentanes Orozco,1.1.0,2,2,2024/2025
3972060,2025-02-08,01:00:00.000,Mexico - Liga MX,2024/2025,Necaxa,Santos Laguna,3,2,,False,False,Complete,Normal,available,available,2025-02-08T12:51:06.656379,2025-02-08T12:51:06.656379,6,Clausura,Estadio Victoria de Aguascalientes,Daniel Quintero Huittrón,Nicolás Ricardo Larcamón,Fernando Ortiz,1.1.0,2,2,2024/2025
